verb,particle,svalex_first_level,svalex_total_freq,swellex_first_level
välja,ut,b1,4.8408,b1
vända,om,b1,7.1087,c1
vänta,in,b2,0.2832,
värma,upp,a2,14.8951,
växa,bort,c1,0.8196,
växa,upp,a1,126.5734,a2
äta,upp,b1,18.9417,
åka,av,c1,0.8196,
åka,fast,b1,12.0557,
åka,in,,,b1
